Region,District,vvrid,vvid,round,N_vvid,Dist_Area,Area_kmsq,Population,dist_km,vdogs,v_mean_date,v_mean_date,season_with_NA,season,Correct_District,CategoryVax,Category,nocollars,collars,tdogs,dog_vill_est,Pop2012,HH_Livestk_Keepers,Gr,TotalHH,Vaccines_vials,Cost,Nvaccinators
Lindi,nachingwea,nachingwea_ndomoni_makitikiti_3,nachingwea_ndomoni_makitikiti,3,118,5971.802217,8.282515159,686,24.233,0,26/06/2014,26-Jun,dry,dry,Nachingwea,Rural,rural,0,0,0,16,178464,21726,1,48145,450,8550800,29
Lindi,nachingwea,nachingwea_ndomoni_ndomondo_3,nachingwea_ndomoni_ndomondo,3,118,5971.802217,16.70510928,1799,23.005,0,26/06/2014,26-Jun,dry,dry,Nachingwea,Rural,rural,0,0,0,41,178464,21726,1,48145,450,8550800,29
Mtwara,nanyumbu,nanyumbu_chipuputa_namaguruvi_3,nanyumbu_chipuputa_namaguruvi,3,89,5200.437722,32.715084,1828,19.522,2,10/06/2014,10-Jun,dry,dry,Nanyumbu,Rural,rural,0,0,0,26,150857,13474,1,40746,160,6739600,18
Mtwara,nanyumbu,nanyumbu_chipuputa_namasogo_3,nanyumbu_chipuputa_namasogo,3,89,5200.437722,43.03260537,1899,10.624,23,13/06/2014,13-Jun,dry,dry,Nanyumbu,Rural,rural,0,0,0,9,150857,13474,1,40746,160,6739600,18
Mtwara,nanyumbu,nanyumbu_likokona_michiga_3,nanyumbu_likokona_michiga,3,89,5200.437722,77.58806125,3887,37.883,0,11/06/2014,11-Jun,dry,dry,Nanyumbu,Rural,rural,0,0,0,10,150857,13474,1,40746,160,6739600,18
Mtwara,nanyumbu,nanyumbu_likokona_misawaji_3,nanyumbu_likokona_misawaji,3,89,5200.437722,17.33868489,600,32.839,0,09/06/2014,09-Jun,dry,dry,Nanyumbu,Rural,rural,0,0,0,8,150857,13474,1,40746,160,6739600,18
Mtwara,nanyumbu,nanyumbu_likokona_pachani_3,nanyumbu_likokona_pachani,3,89,5200.437722,27.48197132,3173,42.641,0,11/06/2014,11-Jun,dry,dry,Nanyumbu,Rural,rural,0,0,0,43,150857,13474,1,40746,160,6739600,18
Mtwara,nanyumbu,nanyumbu_lumesule_lumesule_3,nanyumbu_lumesule_lumesule,3,89,5200.437722,40.8558505,1287,57.711,NA,NA,NA,NA,dry,Nanyumbu,Rural,rural,0,0,0,10,150857,13474,1,40746,160,6739600,18
Mtwara,nanyumbu,nanyumbu_mikangaula_mkwajuni_3,nanyumbu_mikangaula_mkwajuni,3,89,5200.437722,10.03052201,959,42.271,NA,NA,NA,NA,dry,Nanyumbu,Rural,rural,0,0,0,13,150857,13474,1,40746,160,6739600,18
Mtwara,nanyumbu,nanyumbu_mnanje_holola_3,nanyumbu_mnanje_holola,3,89,5200.437722,51.20641304,1569,38.628,0,12/06/2014,12-Jun,dry,dry,Nanyumbu,Rural,rural,0,0,0,21,150857,13474,1,40746,160,6739600,18
Mtwara,nanyumbu,nanyumbu_nangomba_maswela_3,nanyumbu_nangomba_maswela,3,89,5200.437722,51.59394649,1049,21.248,0,12/06/2014,12-Jun,dry,dry,Nanyumbu,Rural,rural,0,0,0,12,150857,13474,1,40746,160,6739600,18
