Region,District,Ward,Village,team_leader,dateVaccination,dateVaccinati,Dogs,Cats,Correct_Village,Correct_Ward,Correct_District,Correct_Region
Morogoro,Morogoro urban,Mazimbu,Lugala,Grace,02/02/2013,02-Feb-13,189,5,Lugala,Mazimbu,Morogoro Urban,Morogoro
Morogoro,Morogoro Urban,MINDU,Lugala,Paul Ngoda,21/12/2014,21-Dec-14,262,120,Lugala,Mazimbu,Morogoro Urban,Morogoro
Morogoro,Ulanga,Igawa,Lugala,NA,10/12/2016,10-Dec-16,176,36,Lugala,Malinyi,Ulanga,Morogoro
Morogoro,Ulanga,Malinyi,Kiwale,Isayasi kindanda,11/03/2013,11-Mar-13,122,17,Lugala,Malinyi,Ulanga,Morogoro
Morogoro,Ulanga,Malinyi,Lugala,Moshi lwimbo,11/03/2013,11-Mar-13,136,20,Lugala,Malinyi,Ulanga,Morogoro
Morogoro,Ulanga,Malinyi  ,Lugala ,NA,04/10/2011,04-Oct-11,363,107,Lugala,Malinyi,Ulanga,Morogoro
Morogoro,Ulanga,Malinyi  ,Lugala ,NA,11/05/2010,11-May-10,96,28,Lugala,Malinyi,Ulanga,Morogoro
Morogoro,Ulanga,IGAWA,Lugala,Nsimba,09/12/2014,09-Dec-14,168,17,Lugala,Malinyi,Ulanga,Morogoro
Morogoro,Morogoro rural,Mtombozi,Lugeni,Caroline Kihulla,03/11/2016,03-Nov-16,36,1,Lugeni,Mtombozi,Morogoro,Morogoro
Morogoro,Morogoro Rural,Mtombozi,Lugeni,Caroline Kihulla,20/12/2014,20-Dec-14,49,1,Lugeni,Mtombozi,Morogoro,Morogoro
Dar Es Salaam,Kinondoni,Kwembe,Kiluguruni,"Mariam Kiponza, Rose Matovu, Donald Chali, Eveline Mkandara, Joyce Mtei",27/11/2016,27-Nov-16,19,0,Luguruni,Kwembe,Kinondoni,Dar-es-salaam
Mtwara,Tandahimba,Chaume,Luheya,Martin P. Daniel,04/11/2016,04-Nov-16,1,0,Luheya,Chaume,Tandahimba,Mtwara
Mtwara,Tandahimba,Chaume,Luheya,Simon Pius Paul,21/08/2015,21-Aug-15,6,0,Luheya,Chaume,Tandahimba,Mtwara
Mtwara,Tandahimba,Chaume,Luheya,Martin P. Daniel,25/06/2014,25-Jun-14,10,0,Luheya,Chaume,Tandahimba,Mtwara
Morogoro,Morogoro rural,Kibuko,Luholole,Anenyise C. Mghase,03/11/2016,03-Nov-16,1,1,Luholela,Mkuyuni,Morogoro,Morogoro
